d,h,od,dit,prd
4,6,PontNeuilly-StGermainLay,20.0,0
4,6,PtAuteuil-StGermainLay,24.8,0
4,6,PtAuteuil-Versailles-Cht,25.5,0
4,6,PtChatillon-Versailles-Cht,29.5,0
4,6,StGermainLay-PontNeuilly,20.0,0
4,6,StGermainLay-PtAuteuil,36.2,0
4,6,Versailles-Cht-PtAuteuil,27.5,0
4,6,Versailles-Cht-PtChatillon,32.5,0
4,7,PontNeuilly-StGermainLay,27.8,0
4,7,PtAuteuil-StGermainLay,34.2,0
4,7,PtAuteuil-Versailles-Cht,33.5,0
4,7,PtChatillon-Versailles-Cht,38.5,0
4,7,StGermainLay-PontNeuilly,34.8,0
4,7,StGermainLay-PtAuteuil,58.5,0
4,7,Versailles-Cht-PtAuteuil,40.0,0
4,7,Versailles-Cht-PtChatillon,57.8,0
4,8,PontNeuilly-StGermainLay,33.8,0
4,8,PtAuteuil-StGermainLay,44.0,0
4,8,PtAuteuil-Versailles-Cht,39.0,0
4,8,PtChatillon-Versailles-Cht,43.0,0
4,8,StGermainLay-PontNeuilly,38.2,0
4,8,StGermainLay-PtAuteuil,61.2,0
4,8,Versailles-Cht-PtAuteuil,48.5,0
4,8,Versailles-Cht-PtChatillon,65.5,0
4,9,PontNeuilly-StGermainLay,29.2,0
4,9,PtAuteuil-StGermainLay,38.0,0
4,9,PtAuteuil-Versailles-Cht,34.8,0
4,9,PtChatillon-Versailles-Cht,38.2,0
4,9,StGermainLay-PontNeuilly,29.8,0
4,9,StGermainLay-PtAuteuil,50.5,0
4,9,Versailles-Cht-PtAuteuil,41.2,0
4,9,Versailles-Cht-PtChatillon,52.2,0
4,10,PontNeuilly-StGermainLay,24.0,1
4,10,PtAuteuil-StGermainLay,31.2,1
4,10,PtAuteuil-Versailles-Cht,33.0,1
4,10,PtChatillon-Versailles-Cht,36.0,1
4,10,StGermainLay-PontNeuilly,21.0,1
4,10,StGermainLay-PtAuteuil,39.8,1
4,10,Versailles-Cht-PtAuteuil,37.5,1
4,10,Versailles-Cht-PtChatillon,43.5,1
4,11,PontNeuilly-StGermainLay,23.0,1
4,11,PtAuteuil-StGermainLay,34.0,1
4,11,PtAuteuil-Versailles-Cht,32.8,1
4,11,PtChatillon-Versailles-Cht,35.5,1
4,11,StGermainLay-PontNeuilly,20.0,1
4,11,StGermainLay-PtAuteuil,38.0,1
4,11,Versailles-Cht-PtAuteuil,35.0,1
4,11,Versailles-Cht-PtChatillon,43.2,1
4,12,PontNeuilly-StGermainLay,22.8,1
4,12,PtAuteuil-StGermainLay,34.5,1
4,12,PtAuteuil-Versailles-Cht,32.0,1
4,12,PtChatillon-Versailles-Cht,35.2,1
4,12,StGermainLay-PontNeuilly,19.5,1
4,12,StGermainLay-PtAuteuil,36.2,1
4,12,Versailles-Cht-PtAuteuil,32.8,1
4,12,Versailles-Cht-PtChatillon,41.2,1
4,13,PontNeuilly-StGermainLay,22.5,1
